
Scenario Summaries

Total of vehicles entered: 6074
Total of vehicles detected: 6074

SECTIONS
Total inferences: 1141
FPR:  940
FPR2: 940
ER:   948,392358355004
CR:   292,77019354914
FPR RATIO:   0,823838737949167
FPR2 RATIO:   0,823838737949167

TRIPS
Total inferences: 1093
FPR:  915
FPR2: 929
ER:   901,468949632672
CR:   272,328319034766
FPR RATIO:   0,837145471180238
FPR2 RATIO:   0,849954254345837

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	519	505	425,685399987918	85	97,6853999879181	25	29,807347377168	49	54,1965545027306	11	13,6814981080196
1	509	539	335	262,314600012082	74	61,3146000120818	14	9,19265262283195	46	40,8034454972695	14	11,3185018919804
2	519	534	616	594,105205948065	99	106,105205948066	14	18,2238493439161	72	72,5776658399587	13	15,3036907641909
3	519	906	327	263,646292921685	86	98,6462929216847	28	28,9895988514954	43	54,0350592520533	15	15,6216348181359
4	529	519	150	152,066098881832	45	52,0660988818322	15	15,4061008182434	19	25,4161705892815	11	11,2438274743073
5	529	539	84	94,3697461927261	31	46,369746192726	7	9,95960743611342	18	28,9343310471421	6	7,47580770947043
6	534	529	597	595,335701956246	160	178,335701956246	44	46,6976630831544	89	101,420548407866	27	30,2174904652255
7	534	922	225	214,678062220295	73	62,678062220295	11	11,7317942898002	48	39,2871513775814	14	11,6591165529134
8	534	1067	0	20,018485093169	0	20,018485093169	0	4,2786195418497	0	10,813693619708	0	4,92617193161138
9	534	1100	97	94,6955511446381	18	17,695551144638	5	4,38210022086601	10	9,97009020771654	3	3,34336071605548
10	534	1201	106	95,5012421657171	22	15,5012421657171	8	8,01747426269339	13	6,13187295919486	1	1,35189494382882
11	534	1114	51	73,4525817185541	9	33,4525817185542	4	10,2061533243391	4	17,8959348005784	1	5,35049359363669
12	539	529	108	83,0987388701507	0	2,09873887015071	0	0,0813764541279517	0	1,85313447892605	0	0,1642279370967
13	539	922	203	204,044951648396	50	59,0449516483964	6	6,70844525109839	35	42,3591819119373	9	9,97732448536075
14	539	1067	0	1,66735337608122	0	1,66735337608122	0	0,509404594529236	0	0,924585922278627	0	0,233362859273355
15	539	1100	60	48,8955514128492	2	3,89555141284924	0	0,483410328644355	1	2,01533101763202	1	1,39681006657286
16	539	1201	30	21,3871515729746	0	4,38715157297464	0	0,726278017874704	0	3,33609757298558	0	0,324775982114363
17	539	1114	251	203,590599324356	69	52,5905993243556	17	12,6433454126707	39	30,249445640652	13	9,6978082710328
18	539	1114	0	0	0	0	0	0	0	0	0	0
19	906	913	304	246,944765495749	97	89,9447654957489	30	25,8049979262056	53	53,0395255164256	14	11,1002420531178
20	906	946	172	180,486598104925	22	45,4865981049256	8	13,6698493184533	12	25,1466740749775	2	6,67007471149481
21	913	943	122	122,56737655312	58	64,5673765531198	13	14,7069007309274	31	35,36263084849	14	14,4978449737024
