MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; velocidad
21; 2; 0; 0; 1; 1; 6,22840562082898
32; 10; 0; 0; 1; 1; 11,2809050151125
54; 20; 0; 0; 1; 1; 6,95421785492364
68; 3; 0; 0; 1; 1; 9,0493212952375
69; 16; 0; 0; 1; 1; 15,0674791931781
77; 16; 0; 0; 1; 1; 5,0130126865995
113; 10; 6; 0; 0,1; 0,1; 15,0412066868166
128; 4; 0; 0; 1; 1; 6,42339064177388
128; 2; 0; 0; 1; 1; 7,5006905626522
158; 10; 0; 0; 1; 1; 11,1859788881209
164; 10; 0; 0; 1; 1; 7,03442434358047
176; 10; 0; 0; 1; 1; 9,61379297546006
191; 10; 0; 0; 1; 1; 8,9809596228165
213; 10; 0; 0; 1; 1; 8,45438481422827
231; 20; 0; 0; 1; 1; 6,02698880760049
235; 16; 0; 0; 1; 1; 9,04048751590685
238; 11; 0; 0; 1; 1; 8,94861373918418
244; 20; 0; 0; 1; 1; 8,21862110127339
244; 2; 1; 0; 1; 0; 6,3908993396173
257; 10; 2; 0; 1; 0; 7,81170099823491
268; 2; 1; 0; 1; 0; 6,13383619093235
277; 10; 0; 0; 1; 1; 8,45926465494068
277; 10; 0; 0; 1; 1; 5,63625654281885
302; 16; 0; 0; 1; 1; 15,0674791931781
304; 10; 0; 0; 1; 1; 7,46891196207704
321; 10; 3; 0; 0,1; 0,1; 12,8924628744142
332; 3; 0; 0; 1; 1; 7,54110107936458
340; 2; 1; 0; 1; 0; 9,01100935758575
362; 3; 0; 0; 1; 1; 11,2159778067974
363; 16; 0; 0; 1; 1; 11,2709013206505
372; 10; 0; 0; 1; 1; 9,93929750353649
379; 4; 0; 0; 1; 1; 11,2128235288417
379; 17; 12; 0; 0,0588235294117647; 0,0588235294117647; 11,2734819872138
408; 10; 0; 0; 1; 1; 11,2160918047034
416; 2; 0; 0; 1; 1; 15,0806026565927
428; 16; 0; 0; 1; 1; 5,63963927242444
454; 10; 0; 0; 1; 1; 7,47739453646893
468; 2; 1; 0; 1; 0; 9,34817498626184
477; 2; 0; 0; 1; 1; 6,42916333941617
482; 11; 0; 0; 1; 1; 14,9506891388576
498; 10; 0; 0; 1; 1; 6,3895483951306
509; 2; 1; 0; 0,5; 0,5; 5,61535991350536
510; 2; 1; 0; 0,5; 0,5; 8,04403239523692
528; 2; 0; 0; 1; 1; 7,52166783989366
541; 2; 0; 0; 1; 1; 7,5060469806515
543; 20; 0; 0; 1; 1; 10,0449813460008
546; 10; 0; 0; 1; 1; 6,88105211783295
565; 2; 0; 0; 1; 1; 11,3104519924445
570; 10; 0; 0; 1; 1; 12,5337732347303
591; 10; 0; 0; 1; 1; 4,81778765424683
615; 2; 0; 0; 1; 1; 11,2111301174922
620; 22; 0; 0; 1; 1; 9,67216480787073
630; 10; 0; 0; 1; 1; 11,2809050151125
666; 2; 0; 0; 1; 1; 9,58980085888943
673; 13; 2; 0; 1; 0; 9,62259345402243
679; 4; 0; 0; 1; 1; 9,96695424785928
692; 10; 0; 0; 1; 1; 9,61379297546006
718; 2; 0; 0; 1; 1; 10,2579270633446
734; 2; 0; 0; 1; 1; 6,93471201236523
743; 2; 0; 0; 0,5; 0,5; 7,50776356888779
766; 4; 0; 0; 1; 1; 6,91749761421802
794; 2; 0; 0; 1; 1; 9,0044380944703
814; 10; 0; 0; 1; 1; 4,80689648773003
817; 20; 0; 0; 1; 1; 9,04048321140073
826; 16; 0; 0; 1; 1; 15,0390380597985
827; 10; 0; 0; 1; 1; 12,3081837380078
830; 4; 0; 0; 1; 1; 9,96695424785928
830; 17; 11; 0; 0,0588235294117647; 0,0588235294117647; 11,2734819872138
875; 16; 0; 0; 1; 1; 12,2206653974489
881; 22; 11; 0; 0,0454545454545455; 0,0454545454545455; 7,96531219471707
886; 10; 5; 0; 0,1; 0,1; 11,2809050151125
914; 10; 0; 0; 1; 1; 6,14864350125692
