MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; %linkOK; %linkNO; %DistOK; %DistNO
21; 2; 0; 0; 1; 1; 1; 0; 1; 0
32; 10; 0; 0; 1; 1; 1; 0; 1; 0
54; 20; 0; 0; 1; 1; 1; 0; 1; 0
68; 3; 0; 0; 1; 1; 1; 0; 1; 0
69; 16; 0; 0; 1; 1; 1; 0; 1; 0
77; 16; 0; 0; 1; 1; 1; 0; 1; 0
113; 10; 0; 0; 0,1; 0,1; 1; 0; 1; 0
128; 8; 0; 0; 1; 1; 1; 0; 1; 0
158; 10; 0; 0; 1; 1; 1; 0; 1; 0
164; 10; 0; 0; 1; 1; 1; 0; 1; 0
176; 10; 0; 0; 1; 1; 1; 0; 1; 0
191; 10; 0; 0; 1; 1; 1; 0; 1; 0
213; 10; 0; 0; 1; 1; 1; 0; 1; 0
231; 20; 0; 0; 1; 1; 1; 0; 1; 0
235; 16; 0; 0; 1; 1; 1; 0; 1; 0
238; 11; 0; 0; 1; 1; 1; 0; 1; 0
244; 40; 20; 0; 1; 0; 1; 0; 1; 0
257; 10; 2; 1; 1; 0; 0; 0; 0,37362349693995; 0,62637650306005
268; 2; 1; 1; 1; 1; 0; 0; 0,333212359042951; 0,666787640957049
277; 100; 0; 0; 1; 1; 1; 0; 1; 0
302; 16; 0; 0; 1; 1; 1; 0; 1; 0
304; 10; 0; 0; 1; 1; 1; 0; 1; 0
321; 10; 0; 0; 0,1; 0,1; 1; 0; 1; 0
332; 3; 0; 0; 1; 1; 1; 0; 1; 0
340; 2; 1; 1; 1; 1; 0; 0; 0,167385047325938; 0,832614952674062
362; 3; 0; 0; 1; 1; 1; 0; 1; 0
363; 16; 0; 0; 1; 1; 1; 0; 1; 0
372; 10; 0; 0; 1; 1; 1; 0; 1; 0
379; 68; 0; 0; 0,0588235294117647; 0,0588235294117647; 1; 0; 1; 0
408; 10; 0; 0; 1; 1; 1; 0; 1; 0
416; 2; 0; 0; 1; 1; 1; 0; 1; 0
428; 16; 0; 0; 1; 1; 1; 0; 1; 0
454; 10; 0; 0; 1; 1; 1; 0; 1; 0
468; 2; 1; 0; 1; 0; 1; 0; 1; 0
477; 2; 0; 0; 1; 1; 1; 0; 1; 0
482; 11; 0; 0; 1; 1; 1; 0; 1; 0
498; 10; 0; 0; 1; 1; 1; 0; 1; 0
509; 2; 0; 1; 0,5; 0,5; 0; 0; 0,19881132297054; 0,80118867702946
510; 2; 0; 1; 0,5; 0,5; 0; 0; 0,201011461648518; 0,798988538351482
528; 2; 0; 0; 1; 1; 1; 0; 1; 0
