MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; velocidad
21; 2; 0; 0; 1; 1; 15,4771235225009
32; 10; 0; 0; 1; 1; 15,0412066868166
46; 10; 0; 0; 1; 1; 15,0220457055629
54; 10; 0; 0; 1; 1; 7,29071226725866
68; 19; 0; 0; 1; 1; 9,83621879917119
74; 13; 0; 0; 1; 1; 14,1395645237772
77; 16; 0; 0; 1; 1; 5,78424540761481
92; 10; 0; 0; 1; 1; 6,99069187577033
108; 18; 0; 0; 1; 1; 7,98693549391325
113; 10; 0; 0; 1; 1; 16,1155785930178
158; 21; 0; 0; 1; 1; 12,0929501493199
164; 2; 0; 0; 1; 1; 6,42700184280331
172; 20; 0; 0; 1; 1; 8,67884750756961
176; 13; 0; 0; 1; 1; 7,93800113615561
191; 10; 0; 0; 1; 1; 18,6401230738838
207; 18; 0; 0; 1; 1; 13,9771371143482
230; 10; 0; 0; 1; 1; 6,04600378445001
231; 10; 0; 0; 1; 1; 6,27811334125051
235; 10; 0; 0; 1; 1; 9,82661686511614
244; 10; 0; 0; 1; 1; 9,61753533127738
244; 19; 0; 0; 1; 1; 6,3908993396173
257; 16; 0; 0; 1; 1; 16,0288802643438
281; 2; 0; 0; 1; 1; 4,28782766403348
302; 10; 0; 0; 1; 1; 16,1437277069765
321; 10; 0; 0; 1; 1; 13,6738242607424
329; 10; 0; 0; 1; 1; 10,7624800135723
333; 19; 0; 0; 1; 1; 8,22665572294318
340; 19; 0; 0; 1; 1; 13,2662370215544
358; 19; 0; 0; 1; 1; 11,1859736324442
363; 20; 0; 0; 1; 1; 16,1012876009292
368; 10; 0; 0; 1; 1; 16,1437277069765
372; 18; 0; 0; 1; 1; 12,7790967902612
377; 19; 0; 0; 1; 1; 11,1840738443303
386; 10; 0; 0; 1; 1; 6,21337435796127
400; 2; 0; 0; 1; 1; 13,2010759456625
402; 16; 0; 0; 1; 1; 19,5939726594169
402; 10; 0; 0; 1; 1; 12,4697175671949
412; 16; 0; 0; 1; 1; 12,4586928098241
428; 16; 0; 0; 1; 1; 5,93646239202573
434; 18; 0; 0; 1; 1; 12,4241218794206
454; 13; 0; 0; 1; 1; 8,0797511564441
463; 19; 0; 0; 1; 1; 12,1291070216549
468; 16; 0; 0; 1; 1; 12,1299634432872
473; 2; 0; 0; 1; 1; 12,1221803828575
482; 2; 0; 0; 1; 1; 16,0185955059188
493; 16; 0; 0; 1; 1; 13,2002543353419
528; 20; 0; 0; 1; 1; 8,46187631988037
543; 10; 0; 0; 1; 1; 10,5121897806985
546; 18; 0; 0; 1; 1; 7,09949821681177
570; 10; 0; 0; 1; 1; 16,7416435479757
574; 2; 1; 0; 1; 0; 15,6912088605246
583; 10; 0; 0; 1; 1; 6,88314276998924
620; 23; 0; 0; 1; 1; 9,95664024339634
630; 10; 0; 0; 1; 1; 12,8924628744142
651; 19; 0; 0; 1; 1; 11,4708449685439
673; 18; 0; 0; 1; 1; 13,5535875048225
679; 16; 0; 0; 1; 1; 10,4305335152016
684; 13; 0; 0; 1; 1; 20,5666393073123
718; 2; 0; 0; 1; 1; 15,5535192670035
730; 10; 0; 0; 1; 1; 8,83649747386051
787; 10; 0; 0; 1; 1; 8,07186001017923
817; 10; 0; 0; 1; 1; 9,41717001187576
826; 16; 0; 0; 1; 1; 17,3527362228444
827; 13; 0; 0; 1; 1; 15,6022780952024
828; 10; 0; 0; 1; 1; 17,2062674528158
846; 19; 0; 0; 1; 1; 13,6682442040257
875; 22; 0; 0; 1; 1; 13,1791489580331
881; 23; 0; 0; 1; 1; 9,67216480787073
886; 10; 0; 0; 1; 1; 12,8924628744142
894; 10; 0; 0; 1; 1; 7,43901214934537
919; 16; 0; 0; 1; 1; 11,2128235288417
919; 10; 0; 0; 1; 1; 15,0412066868166
923; 21; 0; 0; 1; 1; 6,21443271562274
935; 2; 0; 0; 1; 1; 11,2763014685775
960; 10; 0; 0; 1; 1; 14,9134760016434
969; 19; 2; 0; 1; 0; 8,11089858241878
985; 10; 0; 0; 1; 1; 8,04752448512296
991; 19; 0; 0; 1; 1; 9,626937548125
1015; 13; 0; 0; 1; 1; 17,4025409523411
1051; 16; 0; 0; 1; 1; 14,4776983032783
1054; 16; 0; 0; 1; 1; 14,4681593920538
1061; 10; 0; 0; 1; 1; 6,77885272801971
1063; 10; 0; 0; 1; 1; 6,99069187577033
1070; 16; 0; 0; 1; 1; 15,0390380597985
1070; 10; 0; 0; 1; 1; 11,212224664152
1093; 16; 0; 0; 1; 1; 13,6002620424735
1098; 10; 0; 0; 1; 1; 15,0412066868166
1102; 16; 0; 0; 1; 1; 13,2002543353419
1127; 16; 0; 0; 1; 1; 13,2002543353419
1145; 10; 0; 0; 1; 1; 8,77263294214315
1155; 21; 0; 0; 1; 1; 7,10220881785456
1187; 16; 0; 0; 1; 1; 12,4586928098241
1208; 10; 0; 0; 1; 1; 7,27800323555643
1211; 10; 0; 0; 1; 1; 18,6401230738838
1236; 10; 0; 0; 1; 1; 17,3552384847884
1244; 19; 0; 0; 1; 1; 16,0277485643297
1249; 10; 0; 0; 1; 1; 6,88314276998924
1250; 20; 0; 0; 1; 1; 11,5598987904107
1271; 2; 0; 0; 1; 1; 13,2575376706982
1273; 19; 0; 0; 1; 1; 9,42637634920573
1294; 10; 0; 0; 1; 1; 9,14797439987066
1306; 19; 0; 0; 1; 1; 19,4538671868595
1315; 20; 0; 0; 1; 1; 14,0886266508131
1316; 10; 0; 0; 1; 1; 9,27328911767711
1331; 18; 0; 0; 1; 1; 14,9089462553047
1331; 2; 0; 0; 1; 1; 12,8787508801069
