
Scenario Summaries

Total of vehicles entered: 5461
Total of vehicles detected: 5461

SECTIONS
Total inferences: 1412
FPR:  1096
FPR2: 1096
ER:   1176,18924108008
CR:   293,663341236506
FPR RATIO:   0,776203966005666
FPR2 RATIO:   0,776203966005666

TRIPS
Total inferences: 1342
FPR:  1072
FPR2: 1141
ER:   1108,35451467476
CR:   265,313716451563
FPR RATIO:   0,798807749627422
FPR2 RATIO:   0,850223546944858

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	519	416	188,828084679248	117	102,828084679248	41	33,2137879181687	59	55,403258242056	17	14,2110385190237
1	509	539	282	190,171915320752	89	103,171915320752	21	28,7862120818314	48	51,5967417579441	20	22,7889614809763
2	519	529	205	126,184553414913	16	13,1845534149129	5	3,50713655862451	9	7,84173030723608	2	1,83568654905229
3	519	549	358	228,401509346108	155	144,401509346108	45	38,1020601592999	87	83,5340999551597	23	22,7653492316485
4	519	906	270	108,896467523382	62	67,8964675233823	20	20,8581142258647	28	30,4949997353737	14	16,5433535621439
5	529	519	128	93,6544456051551	32	38,654445605155	10	10,2535230256204	11	14,4675717557137	11	13,9333508238209
6	529	539	72	35,665995929183	21	25,665995929183	5	5,64307950363512	13	15,4475805584735	3	4,57533586707434
7	539	529	102	61,7617304823283	0	4,76173048232824	0	1,90160107730262	0	1,86119243600528	0	0,998936969020337
8	539	549	285	191,71440451849	100	94,7144045184901	22	21,7062340321264	53	50,1790873568789	25	22,8290831294846
9	539	1114	226	155,361776249117	75	94,3617762491166	16	23,8214564760375	42	49,0040425235333	17	21,5362772495457
10	549	913	320	219,532162376493	139	144,532162376493	37	36,268064872686	73	78,9530817047417	29	29,3110157990652
11	549	946	131	97,6098398696749	49	47,6098398696749	5	6,68938536562959	26	23,3711021880646	18	17,5493523159807
12	549	1044	361	223,513099993923	170	156,513099993923	48	46,8931371646089	92	80,9969736085275	30	28,6229892207871
13	549	1142	169	130,897174534345	55	50,8971745343446	17	14,5100528208009	32	28,1341692742237	6	8,25295243932004
14	906	913	277	162,362096268758	101	110,362096268758	29	31,0155203400431	51	55,6256536601319	21	23,7209222685826
15	906	946	165	84,6346336502345	28	28,6346336502344	6	6,05843882326851	18	16,0103701397823	4	6,56582468718364
