MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; %linkOK; %linkNO; %DistOK; %DistNO
21; 2; 0; 0; 1; 1; 1; 0; 1; 0
32; 10; 0; 0; 1; 1; 1; 0; 1; 0
46; 10; 0; 0; 1; 1; 1; 0; 1; 0
54; 10; 0; 0; 1; 1; 1; 0; 1; 0
68; 19; 0; 0; 1; 1; 1; 0; 1; 0
70; 16; 0; 0; 1; 1; 1; 0; 1; 0
77; 16; 0; 0; 1; 1; 1; 0; 1; 0
98; 2; 0; 1; 1; 0; 0; 1; 0; 1
113; 10; 0; 0; 1; 1; 1; 0; 1; 0
158; 2; 0; 0; 1; 1; 1; 0; 1; 0
176; 10; 1; 0; 1; 0; 1; 0; 1; 0
191; 10; 0; 0; 1; 1; 1; 0; 1; 0
213; 2; 0; 1; 1; 0; 0; 0; 0,334384756660017; 0,665615243339983
231; 10; 0; 0; 1; 1; 1; 0; 1; 0
244; 10; 0; 0; 1; 1; 1; 0; 1; 0
273; 19; 0; 0; 1; 1; 1; 0; 1; 0
281; 11; 0; 1; 1; 0; 0; 0; 0,331599996738756; 0,668400003261244
302; 3; 0; 1; 0,333333333333333; 0,333333333333333; 0; 0; 0,334175033414952; 0,665824966585048
321; 170; 0; 0; 1; 1; 1; 0; 1; 0
340; 19; 0; 0; 1; 1; 1; 0; 1; 0
352; 10; 2; 1; 1; 0; 0; 1; 0; 1
358; 2; 1; 0; 1; 0; 1; 0; 1; 0
362; 2; 0; 1; 0,5; 0,5; 0; 1; 0; 1
363; 20; 0; 0; 1; 1; 1; 0; 1; 0
365; 21; 0; 0; 1; 1; 1; 0; 1; 0
379; 32; 0; 16; 1; 0; 0; 0; 0,499214513767447; 0,500785486232553
402; 16; 0; 0; 1; 1; 1; 0; 1; 0
412; 16; 0; 0; 1; 1; 1; 0; 1; 0
468; 2; 1; 1; 1; 1; 0; 1; 0; 1
498; 2; 1; 0; 1; 0; 1; 0; 1; 0
503; 2; 1; 1; 1; 1; 0; 0; 0,3333415426568; 0,6666584573432
510; 18; 0; 0; 1; 1; 1; 0; 1; 0
528; 20; 0; 0; 1; 1; 1; 0; 1; 0
543; 10; 0; 0; 1; 1; 1; 0; 1; 0
546; 18; 0; 0; 1; 1; 1; 0; 1; 0
555; 2; 1; 0; 1; 0; 1; 0; 1; 0
615; 2; 0; 0; 1; 1; 1; 0; 1; 0
620; 3; 1; 2; 1; 0; 0; 0; 0,249836158183357; 0,750163841816643
630; 160; 0; 0; 1; 1; 1; 0; 1; 0
647; 2; 0; 0; 1; 1; 1; 0; 1; 0
