MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; velocidad
21; 2; 0; 0; 1; 1; 12,823902347215
21; 16; 0; 0; 1; 1; 7,5403347163012
32; 20; 0; 0; 1; 1; 10,2601417193258
46; 14; 0; 0; 1; 1; 12,5294886334974
54; 2; 0; 0; 1; 1; 16,9650668849204
68; 21; 0; 0; 1; 1; 9,0493212952375
69; 18; 0; 0; 1; 1; 12,8936015307096
70; 2; 0; 0; 1; 1; 15,0875436081619
71; 10; 0; 0; 1; 1; 7,49978895298586
74; 13; 0; 0; 1; 1; 16,9671473838911
77; 2; 0; 0; 1; 1; 3,88390492068973
106; 2; 0; 0; 1; 1; 11,308866516884
113; 20; 0; 0; 1; 1; 9,40512990938202
128; 2; 0; 0; 1; 1; 6,41382973795885
128; 20; 0; 0; 1; 1; 6,92575416884889
138; 24; 0; 0; 1; 1; 9,3148634341411
153; 2; 0; 0; 1; 1; 4,5235466067536
158; 13; 0; 0; 1; 1; 11,1859788881209
164; 10; 0; 0; 1; 1; 7,03442434358047
172; 10; 0; 0; 1; 1; 11,1844056330137
176; 10; 0; 0; 1; 1; 9,61379297546006
176; 21; 0; 0; 1; 1; 12,8978473661432
191; 19; 0; 0; 1; 1; 12,4534745415642
196; 3; 0; 0; 1; 1; 6,13705018533278
213; 10; 0; 0; 1; 1; 8,45438481422827
231; 2; 0; 0; 1; 1; 13,5720535079363
235; 18; 0; 0; 1; 1; 12,8936015307096
238; 18; 0; 0; 1; 1; 4,4742693551571
244; 2; 0; 0; 1; 1; 13,5720535079363
244; 18; 0; 0; 1; 1; 13,4228080654713
257; 3; 2; 0; 1; 0; 7,81170099823491
268; 2; 0; 0; 1; 1; 4,82595776677148
273; 2; 0; 0; 1; 1; 15,0784886891787
277; 19; 0; 0; 1; 1; 8,45926465494068
277; 10; 0; 0; 1; 1; 5,63625654281885
302; 18; 0; 0; 1; 1; 12,8936015307096
304; 10; 0; 0; 1; 1; 7,46891196207704
321; 3; 2; 0; 1; 0; 8,29573409563199
332; 21; 0; 0; 1; 1; 7,54110107936458
332; 2; 0; 0; 1; 1; 14,9201089239514
340; 10; 0; 0; 1; 1; 13,5732854008307
351; 21; 0; 0; 1; 1; 7,54071411158607
352; 13; 0; 0; 1; 1; 13,5737179071129
358; 2; 0; 0; 1; 1; 14,9201089239514
362; 3; 0; 0; 1; 1; 11,2159778067974
363; 10; 0; 0; 1; 1; 11,2709013206505
365; 22; 2; 0; 1; 0; 8,981550341806
372; 20; 0; 0; 1; 1; 9,93929750353649
372; 2; 0; 0; 1; 1; 5,65782885306071
377; 2; 0; 0; 1; 1; 11,2907570716513
379; 3; 1; 0; 1; 0; 9,25549883258919
380; 3; 1; 0; 0,333333333333333; 0,333333333333333; 4,20516695528499
386; 2; 0; 0; 1; 1; 15,0543427622017
386; 19; 0; 0; 1; 1; 6,59301593376929
396; 2; 0; 0; 1; 1; 5,02918120272063
400; 2; 0; 0; 1; 1; 9,59269324546084
402; 26; 5; 0; 1; 0; 11,2498030508982
408; 10; 0; 0; 1; 1; 11,2160918047034
428; 2; 0; 0; 1; 1; 3,75049413218685
429; 17; 0; 0; 1; 1; 8,41082012349715
443; 2; 0; 0; 1; 1; 15,0543427622017
445; 18; 0; 0; 1; 1; 13,4319692784718
454; 10; 0; 0; 1; 1; 7,47739453646893
463; 20; 0; 0; 1; 1; 11,2194239950308
468; 2; 0; 0; 1; 1; 9,34817498626184
468; 2; 0; 0; 1; 1; 6,75685362475698
477; 10; 0; 0; 1; 1; 5,63487184729982
477; 10; 0; 0; 1; 1; 7,50969682352838
482; 18; 0; 0; 1; 1; 14,9370729879852
498; 20; 0; 0; 1; 1; 6,3895483951306
509; 2; 0; 0; 1; 1; 4,82595776677148
528; 10; 0; 0; 1; 1; 7,52166783989366
543; 2; 0; 0; 1; 1; 13,5720535079363
546; 20; 0; 0; 1; 1; 6,88105211783295
556; 19; 0; 0; 1; 1; 11,2081270874078
558; 21; 0; 0; 1; 1; 6,16967518220678
570; 10; 0; 0; 1; 1; 12,5337732347303
586; 10; 0; 0; 1; 1; 6,92288211044849
591; 5; 0; 0; 1; 1; 4,81778765424683
610; 10; 0; 0; 1; 1; 16,1187381531508
612; 2; 0; 0; 1; 1; 11,224202041428
615; 2; 0; 0; 1; 1; 13,4701948806135
616; 2; 0; 0; 1; 1; 11,2907570716513
620; 20; 0; 0; 1; 1; 11,2861558912584
621; 2; 0; 0; 1; 1; 7,52717138110084
630; 20; 0; 0; 1; 1; 8,6816583778911
