
Scenario Summaries

Total of vehicles entered: 5384
Total of vehicles detected: 5384

SECTIONS
Total inferences: 2355
FPR:  2013
FPR2: 2013
ER:   2206,81774760182
CR:   584,235851388037
FPR RATIO:   0,854777070063694
FPR2 RATIO:   0,854777070063694

TRIPS
Total inferences: 2040
FPR:  1762
FPR2: 1824
ER:   1892,34193822154
CR:   440,739072036043
FPR RATIO:   0,863725490196078
FPR2 RATIO:   0,894117647058824

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	519	355	179,653616372487	154	145,653616372487	52	52,8463967113616	83	78,1222298906217	19	14,6849897705039
1	509	539	235	164,346383627513	95	103,346383627513	22	24,1536032886384	55	56,8777701093783	18	22,3150102294961
2	519	534	506	341,570393061023	254	239,570393061023	69	71,2860341610621	147	132,67986747125	38	35,6044914287113
3	519	906	277	141,779975433404	104	124,779975433404	39	39,5948874038414	48	62,893432978924	17	22,2916550506384
4	529	519	135	106,69675212194	58	72,6967521219397	19	21,0345248535418	25	31,4510705595521	14	20,2111567088458
5	529	539	80	45,4894002604349	46	34,4894002604349	11	13,7619268329928	26	14,9615744798526	9	5,76589894758954
6	534	529	423	236,409207334376	162	146,409207334376	40	45,9985922658499	91	73,9985121284643	31	26,4121029400621
7	534	922	189	143,846586908265	110	105,846586908265	25	24,389094695833	61	57,3392436515924	24	24,1182485608398
8	534	1054	337	247,398781600708	206	219,398781600708	67	61,2440621655985	115	121,649802317302	24	36,5049171178064
9	539	544	387	275,796816035597	166	178,796816035597	41	48,0917976370133	93	96,9872078071096	32	33,7178105914737
10	539	1124	330	205,03896785235	138	122,038967852351	40	38,8237324846178	68	54,852136782121	30	28,3630985856119
11	544	529	341	227,776945047998	139	157,776945047998	42	43,7978594206847	73	82,4141329109403	24	31,5649527163732
12	544	922	292	210,896485418189	161	164,896485418189	37	37,0511804587502	80	85,1910269951993	44	42,6542779642399
13	544	1054	165	126,146977058889	84	84,1469770588886	14	19,4705092620001	48	40,869153480453	22	23,8073143164355
14	906	939	375	211,678248353323	148	170,678248353323	45	46,5278594175605	75	87,7025870419835	28	36,4478018937795
15	906	976	316	142,980929871638	68	88,9809298716381	19	24,9661525906273	35	43,401216030731	14	20,6135612502799
16	913	943	104	61,1321583269016	72	55,1321583269016	26	20,0666098237946	21	15,7990053737102	25	19,2665431293969
17	913	922	7	17,8844497895533	2	15,8844497895533	0	2,37753460701146	0	6,59511132794664	2	6,91180385459517
18	913	1054	114	80,5537280616446	61	65,5537280616447	16	22,5693625892191	30	28,2600528986747	15	14,7243125737508
19	913	1100	327	259,934649934917	208	217,934649934917	71	71,4376392160738	91	98,1533949588037	46	48,3436157600395
20	922	913	479	350,842692339024	292	278,842692339023	86	82,1237593735255	135	133,885011042472	71	62,8339219230263
21	922	906	161	150,549395462189	103	126,549395462189	30	36,7719435054259	46	55,3020971342143	27	34,4753548225487
22	922	534	171	133,330100057056	101	104,330100057056	21	25,4768604648129	53	46,8697034225254	27	31,9835361697181
23	939	913	383	277,662293773993	176	200,662293773993	43	50,3273868625734	95	102,922553516663	38	47,4123533947562
24	939	906	38	26,3298073293689	10	9,32980732936885	2	3,12718109892044	7	3,90827295957612	1	2,2943532708723
25	939	534	348	228,754082725269	168	172,754082725269	49	43,8688545014064	89	96,437987203584	30	32,447241020279
26	943	939	390	271,067935475307	160	166,067935475307	39	40,7955630453398	86	88,5662266378398	35	36,706145792128
27	943	976	284	166,019070128362	125	104,019070128362	36	29,0338474093728	57	47,5987839692691	32	27,3864387497201
28	1044	1088	526	443,294675060277	374	381,294675060277	87	94,6634090503446	212	200,936718877336	75	85,6945471325974
29	1044	1201	199	141,146267168282	105	107,146267168282	42	41,9198766849475	42	42,3084341390314	21	22,9179563443035
30	1054	1044	503	374,911709820116	308	307,911709820116	90	93,6814903504666	162	149,114562520014	56	65,1156569496356
31	1054	544	148	110,833692255695	85	90,8336922556951	25	23,2598525040879	43	45,8542037150484	17	21,7196360365587
32	1054	1124	195	108,587620657833	56	85,5876206578325	13	17,6929446934718	30	48,774251403628	13	19,1204245607329
33	1075	943	223	165,954847276768	115	116,954847276768	28	27,762800630918	69	68,3660052333988	18	20,8260414124512
34	1075	922	117	88,7442058697212	44	44,7442058697212	6	8,14658673478165	30	26,1973013174822	8	10,4003178174574
35	1075	1054	201	122,901168296782	98	97,9011682967824	25	24,0019828640811	53	55,637236843998	20	18,2619485887033
36	1075	1100	85	60,5770610419898	1	5,57706104198985	0	2,6342144077965	1	2,60342347953532	0	0,33942315465803
37	1088	922	387	273,350459872539	247	246,350459872539	65	69,408166847388	120	117,734128306991	62	59,2081647181608
38	1088	1054	125	113,332367715621	72	89,3323677156211	16	18,3483706671274	37	44,3267720982628	19	26,6572249502311
39	1088	1100	402	301,204655246015	235	233,204655246015	48	48,4593478441021	150	140,165974923965	37	44,5793324779486
40	1100	1107	351	271,331428956705	186	189,331428956704	43	43,074662917917	107	106,168649154672	36	40,0881168841153
41	1100	1176	149	123,384937266217	80	89,3849372662172	28	31,4565385500553	37	40,7541442076311	15	17,1742545085308
42	1107	1075	378	287,177282485262	226	233,177282485262	58	60,5455846375773	126	127,803966874414	42	44,8277309732699
43	1114	1133	425	292,965429298438	214	220,965429298437	48	52,1945625259566	109	110,231699079309	57	58,5391676931716
44	1124	1114	292	203,965429298437	153	159,965429298437	42	45,1945625259566	69	71,2316990793092	42	43,5391676931716
45	1133	1044	448	352,529232408443	266	275,529232408443	60	63,9017953848256	141	142,130590496353	65	69,4968465272653
46	1133	544	289	203,189899233784	143	147,189899233784	29	30,9678990003338	72	72,6329018644347	42	43,5890983690163
47	1133	1124	163	113,338840788254	71	64,3388407882541	18	17,6778853478669	36	29,6053108935604	17	17,0556445468268
48	1176	1088	480	336,592807773899	243	250,592807773898	67	69,5524763082727	124	127,290156451882	52	53,7501750137431
49	1176	1201	172	81,9462759637625	56	53,9462759637625	18	18,4331405221223	31	25,828670036007	7	9,68446540563325
50	1189	1107	283	183,845853528557	127	130,845853528557	33	35,4709217196603	70	72,6353177197418	24	22,7396140891545
51	1189	1176	258	164,154146471443	115	111,154146471443	35	33,5290782803397	55	51,3646822802581	25	26,2603859108455
52	1201	1133	361	261,092543132045	192	192,092543132045	52	53,3530172070699	93	87,1371041750381	47	51,6024217499368
Thanks for chose TyggerSoftware Inc. 2017
