MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; %linkOK; %linkNO; %DistOK; %DistNO
4; 2; 0; 0; 1; 1; 1; 0; 1; 0
21; 4; 0; 0; 1; 1; 1; 0; 1; 0
22; 2; 0; 0; 1; 1; 1; 0; 1; 0
32; 10; 0; 0; 1; 1; 1; 0; 1; 0
37; 2; 0; 0; 1; 1; 1; 0; 1; 0
46; 10; 0; 0; 1; 1; 1; 0; 1; 0
54; 2; 0; 0; 1; 1; 1; 0; 1; 0
58; 2; 0; 0; 1; 1; 1; 0; 1; 0
66; 2; 0; 0; 1; 1; 1; 0; 1; 0
68; 2; 0; 0; 1; 1; 1; 0; 1; 0
69; 10; 4; 0; 0,1; 0,1; 1; 0; 1; 0
70; 2; 0; 0; 1; 1; 1; 0; 1; 0
71; 36; 0; 0; 1; 1; 1; 0; 1; 0
74; 12; 0; 0; 1; 1; 1; 0; 1; 0
77; 4; 0; 0; 1; 1; 1; 0; 1; 0
86; 2; 0; 0; 1; 1; 1; 0; 1; 0
89; 2; 0; 0; 1; 1; 1; 0; 1; 0
92; 36; 0; 0; 1; 1; 1; 0; 1; 0
106; 2; 0; 0; 1; 1; 1; 0; 1; 0
113; 10; 0; 0; 1; 1; 1; 0; 1; 0
117; 18; 0; 0; 1; 1; 1; 0; 1; 0
128; 72; 0; 0; 1; 1; 1; 0; 1; 0
133; 2; 0; 0; 1; 1; 1; 0; 1; 0
138; 10; 0; 0; 1; 1; 1; 0; 1; 0
144; 2; 0; 0; 1; 1; 1; 0; 1; 0
146; 16; 0; 0; 1; 1; 1; 0; 1; 0
153; 2; 0; 0; 1; 1; 1; 0; 1; 0
158; 26; 0; 0; 1; 1; 1; 0; 1; 0
159; 2; 0; 0; 1; 1; 1; 0; 1; 0
164; 4; 0; 0; 1; 1; 1; 0; 1; 0
172; 10; 0; 0; 1; 1; 1; 0; 1; 0
176; 190; 0; 0; 1; 1; 1; 0; 1; 0
179; 4; 0; 0; 1; 1; 1; 0; 1; 0
191; 10; 0; 0; 1; 1; 1; 0; 1; 0
192; 2; 0; 0; 1; 1; 1; 0; 1; 0
196; 8; 0; 0; 1; 1; 1; 0; 1; 0
201; 2; 0; 0; 1; 1; 1; 0; 1; 0
213; 2; 0; 0; 1; 1; 1; 0; 1; 0
218; 2; 0; 0; 1; 1; 1; 0; 1; 0
227; 18; 0; 0; 1; 1; 1; 0; 1; 0
230; 2; 0; 0; 1; 1; 1; 0; 1; 0
231; 2; 0; 0; 1; 1; 1; 0; 1; 0
235; 20; 0; 0; 1; 1; 1; 0; 1; 0
238; 2; 0; 0; 1; 1; 1; 0; 1; 0
242; 10; 0; 0; 1; 1; 1; 0; 1; 0
244; 36; 0; 0; 1; 1; 1; 0; 1; 0
257; 360; 0; 0; 1; 1; 1; 0; 1; 0
259; 20; 0; 0; 1; 1; 1; 0; 1; 0
263; 2; 0; 0; 1; 1; 1; 0; 1; 0
268; 36; 0; 0; 1; 1; 1; 0; 1; 0
269; 2; 0; 0; 1; 1; 1; 0; 1; 0
273; 2; 0; 0; 1; 1; 1; 0; 1; 0
277; 30; 0; 0; 1; 1; 1; 0; 1; 0
295; 2; 0; 0; 1; 1; 1; 0; 1; 0
301; 2; 0; 0; 1; 1; 1; 0; 1; 0
302; 10; 4; 0; 0,1; 0,1; 1; 0; 1; 0
304; 2; 0; 0; 1; 1; 1; 0; 1; 0
321; 100; 40; 0; 0,1; 0,1; 1; 0; 1; 0
332; 4; 0; 0; 1; 1; 1; 0; 1; 0
333; 2; 0; 0; 1; 1; 1; 0; 1; 0
336; 2; 0; 0; 1; 1; 1; 0; 1; 0
340; 10; 0; 0; 1; 1; 1; 0; 1; 0
351; 26; 0; 0; 1; 1; 1; 0; 1; 0
352; 12; 0; 0; 1; 1; 1; 0; 1; 0
358; 2; 0; 0; 1; 1; 1; 0; 1; 0
362; 60; 0; 0; 1; 1; 1; 0; 1; 0
363; 10; 0; 0; 1; 1; 1; 0; 1; 0
365; 23; 0; 2; 1; 0; 0; 0; 0,14219740768678; 0,85780259231322
372; 100; 0; 0; 1; 1; 1; 0; 1; 0
377; 2; 0; 0; 1; 1; 1; 0; 1; 0
379; 150; 0; 0; 1; 1; 1; 0; 1; 0
380; 2; 0; 0; 1; 1; 1; 0; 1; 0
383; 10; 0; 0; 1; 1; 1; 0; 1; 0
386; 40; 0; 0; 1; 1; 1; 0; 1; 0
396; 2; 0; 0; 1; 1; 1; 0; 1; 0
400; 4; 0; 0; 1; 1; 1; 0; 1; 0
402; 23; 1; 3; 1; 0; 0; 0; 0,334762845685201; 0,665237154314799
408; 10; 0; 0; 1; 1; 1; 0; 1; 0
412; 10; 0; 0; 1; 1; 1; 0; 1; 0
416; 16; 0; 0; 1; 1; 1; 0; 1; 0
427; 2; 0; 0; 1; 1; 1; 0; 1; 0
428; 2; 0; 0; 1; 1; 1; 0; 1; 0
429; 10; 0; 0; 1; 1; 1; 0; 1; 0
434; 2; 0; 0; 1; 1; 1; 0; 1; 0
439; 190; 0; 0; 1; 1; 1; 0; 1; 0
443; 2; 0; 0; 1; 1; 1; 0; 1; 0
445; 18; 0; 0; 1; 1; 1; 0; 1; 0
454; 160; 0; 0; 1; 1; 1; 0; 1; 0
455; 32; 0; 0; 1; 1; 1; 0; 1; 0
463; 10; 0; 0; 1; 1; 1; 0; 1; 0
468; 20; 0; 0; 1; 1; 1; 0; 1; 0
473; 2; 0; 0; 1; 1; 1; 0; 1; 0
475; 2; 0; 0; 1; 1; 1; 0; 1; 0
477; 306; 0; 0; 1; 1; 1; 0; 1; 0
482; 4; 0; 0; 1; 1; 1; 0; 1; 0
484; 4; 0; 0; 1; 1; 1; 0; 1; 0
495; 24; 11; 0; 0,0416666666666667; 0,0416666666666667; 1; 0; 1; 0
498; 2; 0; 0; 1; 1; 1; 0; 1; 0
509; 2; 0; 0; 1; 1; 1; 0; 1; 0
510; 10; 0; 0; 1; 1; 1; 0; 1; 0
520; 2; 0; 0; 1; 1; 1; 0; 1; 0
521; 10; 0; 0; 1; 1; 1; 0; 1; 0
524; 2; 0; 0; 1; 1; 1; 0; 1; 0
528; 18; 0; 0; 1; 1; 1; 0; 1; 0
537; 19; 0; 0; 1; 1; 1; 0; 1; 0
541; 2; 0; 0; 1; 1; 1; 0; 1; 0
543; 2; 0; 0; 1; 1; 1; 0; 1; 0
546; 2; 0; 0; 1; 1; 1; 0; 1; 0
556; 22; 0; 0; 1; 1; 1; 0; 1; 0
558; 2; 0; 0; 1; 1; 1; 0; 1; 0
565; 16; 0; 0; 1; 1; 1; 0; 1; 0
570; 10; 0; 0; 1; 1; 1; 0; 1; 0
576; 18; 0; 0; 1; 1; 1; 0; 1; 0
583; 10; 0; 0; 1; 1; 1; 0; 1; 0
586; 18; 0; 0; 1; 1; 1; 0; 1; 0
591; 32; 0; 0; 1; 1; 1; 0; 1; 0
597; 2; 0; 0; 1; 1; 1; 0; 1; 0
602; 2; 0; 0; 1; 1; 1; 0; 1; 0
608; 2; 0; 0; 1; 1; 1; 0; 1; 0
610; 18; 0; 0; 1; 1; 1; 0; 1; 0
612; 2; 0; 0; 1; 1; 1; 0; 1; 0
615; 2; 0; 0; 1; 1; 1; 0; 1; 0
616; 2; 0; 0; 1; 1; 1; 0; 1; 0
620; 24; 0; 0; 1; 1; 1; 0; 1; 0
621; 2; 0; 0; 1; 1; 1; 0; 1; 0
629; 2; 0; 0; 1; 1; 1; 0; 1; 0
630; 10; 0; 0; 1; 1; 1; 0; 1; 0
632; 2; 0; 0; 1; 1; 1; 0; 1; 0
647; 10; 0; 0; 1; 1; 1; 0; 1; 0
652; 40; 0; 0; 1; 1; 1; 0; 1; 0
